"sim","mode","first_crossing","peak","final"
124,"history_naive",15,9.78396476548576e+285,9.78396476548576e+285
124,"practical_naive",NA,1.62261330908867,0.170074269876312
124,"correct_conditional",NA,2.40536528425574,1.01076044838824
125,"history_naive",14,9.64787604797369e+285,9.64787604797369e+285
125,"practical_naive",NA,1.5234372623009,0.209576698022356
125,"correct_conditional",NA,1.92871682737704,0.249183048166929
126,"history_naive",15,9.50416655759583e+285,9.50416655759583e+285
126,"practical_naive",NA,1.35647682918559,0.0473499816319579
126,"correct_conditional",NA,1.4571234699338,0.0272997691288706
127,"history_naive",14,7.33797357411432e+285,4.89198238274288e+285
127,"practical_naive",NA,1.31905341495354,0.221686876869124
127,"correct_conditional",NA,1.46971580205305,0.39378232406141
128,"history_naive",14,7.23590703598021e+285,4.82393802398681e+285
128,"practical_naive",NA,2.8129338928131,0.178459973854789
128,"correct_conditional",NA,2.90258763944955,0.195229694095356
129,"history_naive",15,9.65753358155519e+285,9.65753358155519e+285
129,"practical_naive",NA,1.00809718510805,0.29284044521091
129,"correct_conditional",NA,1.13926716086509,0.679716478559898
130,"history_naive",14,9.66720078233753e+285,9.66720078233753e+285
130,"practical_naive",NA,1.39414339726298,0.116304807082514
130,"correct_conditional",NA,1.10614758780553,0.399358396553436
131,"history_naive",14,7.28676159996818e+285,4.85784106664545e+285
131,"practical_naive",NA,1.39077508530285,0.282763164771117
131,"correct_conditional",NA,1.60737525475425,0.202158013624018
132,"history_naive",14,9.6575335815552e+285,9.6575335815552e+285
132,"practical_naive",NA,1.11270056437389,0.27120090422964
132,"correct_conditional",NA,1.40834288840381,0.979711593671083
133,"history_naive",14,9.6382281719257e+285,9.6382281719257e+285
133,"practical_naive",NA,1.23159966165934,0.228520412508258
133,"correct_conditional",NA,1.20124733504588,0.212615576941672
134,"history_naive",15,9.62858994375369e+285,9.62858994375369e+285
134,"practical_naive",357,64.5464375787856,0.511894896674056
134,"correct_conditional",NA,3.65494379311428,0.0154958519973639
135,"history_naive",15,9.72540754083175e+285,9.72540754083175e+285
135,"practical_naive",NA,2.99321408474461,1.13793684372722
135,"correct_conditional",NA,19.7319523630795,14.5059722324252
136,"history_naive",15,9.81337546155738e+285,9.81337546155738e+285
136,"practical_naive",NA,1.04272516390013,0.440483344490483
136,"correct_conditional",NA,1.11781050993988,0.498214156528438
137,"history_naive",14,7.27219536352981e+285,4.84813024235321e+285
137,"practical_naive",NA,1.37828133397863,0.29771585185776
137,"correct_conditional",NA,1.62750755752124,0.540373950854842
138,"history_naive",14,9.63822817192563e+285,9.63822817192563e+285
138,"practical_naive",NA,1.28039651459333,0.239950786327874
138,"correct_conditional",NA,1.68862701525555,0.816199056877307
139,"history_naive",15,7.29405565562381e+285,4.86270377041588e+285
139,"practical_naive",NA,3.65011855283892,0.235869521853236
139,"correct_conditional",NA,2.08958720814553,0.278106222629067
140,"history_naive",15,7.30135701263648e+285,4.86757134175765e+285
140,"practical_naive",NA,1.87421252433457,0.0351286486869849
140,"correct_conditional",NA,3.07976885205777,0.0651657316099047
141,"history_naive",14,9.68656422422178e+285,9.68656422422178e+285
141,"practical_naive",NA,1.08830803008675,0.239195507691491
